"TITLE","DEPARTMENT","CATEGORY","BASE_PRICE","ORDER_NUMBER"
"No Name Salami (175g)","Meat","Processed Meat Slice",1.97,"531000098759512"
"No Name Salami (175g)","Meat","Processed Meat Slice",1.97,"531000053792340"
"Christie Thinsations Thinsations, Chocolate Covered Pretzels (132g)","Grocery","Cookies",2.99,"531000049012093"
"Christie Thinsations Thinsations, Chocolate Covered Pretzels (132g)","Grocery","Cookies",2.99,"531000037164218"
"Christie Thinsations Thinsations, Chocolate Covered Pretzels (132g)","Grocery","Cookies",2.99,"531000049399381"
"Christie Thinsations Thinsations, Chocolate Covered Pretzels (132g)","Grocery","Cookies",2.99,"531000035546197"
"Christie Thinsations Thinsations, Chocolate Covered Pretzels (132g)","Grocery","Cookies",2.99,"531000048255166"
"Christie Thinsations Thinsations, Chocolate Covered Pretzels (132g)","Grocery","Cookies",2.99,"531000020309761"
"Christie Thinsations Thinsations, Chocolate Covered Pretzels (132g)","Grocery","Cookies",2.99,"531000020192785"
"Christie Thinsations Thinsations, Chocolate Covered Pretzels (132g)","Grocery","Cookies",2.99,"531000015232789"
"Christie Thinsations Thinsations, Chocolate Covered Pretzels (132g)","Grocery","Cookies",2.99,"531000013506030"
"Christie Thinsations Thinsations, Chocolate Covered Pretzels (132g)","Grocery","Cookies",2.99,"531000013055095"
"Schneiders Juicy Jumbo Original Wieners (900g)","Meat","Wieners",10.97,"531000091104007"
"Questbar Protein Bar,  Chcolate Cookie Dough (60g)","OTC","Diet Control",3.49,"531000096622573"
"Questbar Protein Bar,  Chcolate Cookie Dough (60g)","OTC","Diet Control",3.49,"531000092961061"
"Questbar Protein Bar,  Chcolate Cookie Dough (60g)","OTC","Diet Control",3.49,"531000077323782"
"Questbar Protein Bar,  Chcolate Cookie Dough (60g)","OTC","Diet Control",3.49,"531000073396637"
"Questbar Protein Bar,  Chcolate Cookie Dough (60g)","OTC","Diet Control",3.49,"531000072974698"
"Mrs. Dash Grilling Blend, Steak (71g)","Grocery","Baking-Spices",3.99,"531000012964410"
"Puritan Beef Stew (410g)","Grocery","Canned Rth",1.85,"531000072461837"
"Puritan Beef Stew (410g)","Grocery","Canned Rth",1.85,"531000037717924"
"Puritan Beef Stew (410g)","Grocery","Canned Rth",1.85,"531000028351387"
"Puritan Beef Stew (410g)","Grocery","Canned Rth",1.85,"531000029723019"
"Dove Baby Bar, Fresh Scent (2x90g)","Baby","Baby Toiletries",2.99,"531000025727799"
"Dove Baby Bar, Fresh Scent (2x90g)","Baby","Baby Toiletries",2.99,"531000057388205"
"No Name Lasagna Pans, Giant (2ea)","Home","Foil-Household",1.97,"531000095085715"
"No Name Lasagna Pans, Giant (2ea)","Home","Foil-Household",1.97,"531000088642061"
"No Name Lasagna Pans, Giant (2ea)","Home","Foil-Household",1.97,"531000071593121"
"No Name Lasagna Pans, Giant (2ea)","Home","Foil-Household",1.97,"531000093559006"
"No Name Lasagna Pans, Giant (2ea)","Home","Foil-Household",1.97,"531000047356736"
"No Name Lasagna Pans, Giant (2ea)","Home","Foil-Household",1.97,"531000016511694"
"Dove Go Fresh Beauty Bar, Cool Moisture (4x90g)","HBA","Soap",5.49,"531000092944190"
"Dove Go Fresh Beauty Bar, Cool Moisture (4x90g)","HBA","Soap",5.49,"531000091385881"
"Dove Go Fresh Beauty Bar, Cool Moisture (4x90g)","HBA","Soap",5.49,"531000091014676"
"Dove Go Fresh Beauty Bar, Cool Moisture (4x90g)","HBA","Soap",5.49,"531000093600731"
